city,temperature,weather_description,humidity,wind_speed,weather_datetime,region_id,region_name,carbon_intensity,carbon_forecast,carbon_average,generation_mix,carbon_datetime,latitude,longitude
Leeds,5.28,mist,97,4.12,1/26/25 22:20,15,National,44,48.0,low,,2025-01-26T21:30Z,53.7964,-1.5477
Glasgow,3.28,light rain,91,6.17,1/26/25 22:17,16,National,44,48.0,low,,2025-01-26T21:30Z,55.8652,-4.2576
Swansea,6.55,light rain,91,3.13,1/26/25 22:20,17,National,44,48.0,low,,2025-01-26T21:30Z,51.6208,-3.9432
Inverness,4.9,overcast clouds,87,4.12,1/26/25 23:22,1,National,40,41.0,low,,2025-01-26T22:30Z,57.4791,-4.224
Edinburgh,2.86,overcast clouds,90,3.6,1/26/25 23:13,2,National,40,41.0,low,,2025-01-26T22:30Z,55.9521,-3.1965
Manchester,7.1,light rain,85,3.6,1/26/25 23:19,3,National,40,41.0,low,,2025-01-26T22:30Z,53.4809,-2.2374
Newcastle upon Tyne,5.12,broken clouds,93,4.12,1/26/25 23:22,4,National,40,41.0,low,,2025-01-26T22:30Z,54.9733,-1.614
Sheffield,6.01,light rain,91,5.69,1/26/25 23:18,5,National,40,41.0,low,,2025-01-26T22:30Z,53.383,-1.4659
Liverpool,6.34,light intensity shower rain,90,6.69,1/26/25 23:18,6,National,40,41.0,low,,2025-01-26T22:30Z,53.4106,-2.9779
Cardiff,6.32,light rain,93,5.14,1/26/25 23:21,7,National,40,41.0,low,,2025-01-26T22:30Z,51.48,-3.18
Birmingham,8.97,moderate rain,91,0.7,1/26/25 23:11,8,National,40,41.0,low,,2025-01-26T22:30Z,52.4814,-1.8998
Nottingham,7.01,scattered clouds,91,4.63,1/26/25 23:19,9,National,40,41.0,low,,2025-01-26T22:30Z,52.9536,-1.1505
Cambridge,-3.79,overcast clouds,63,5.14,1/26/25 23:20,10,National,40,41.0,low,,2025-01-26T22:30Z,52.2,0.1167
Bristol,0.74,clear sky,53,2.57,1/26/25 23:18,11,National,40,41.0,low,,2025-01-26T22:30Z,51.4552,-2.5967
Southampton,7.8,very heavy rain,97,1.34,1/26/25 23:22,12,National,40,41.0,low,,2025-01-26T22:30Z,50.904,-1.4043
London,8.84,very heavy rain,88,8.23,1/26/25 23:18,13,National,40,41.0,low,,2025-01-26T22:30Z,51.5085,-0.1257
Brighton,8.1,light rain,94,4.47,1/26/25 23:22,14,National,40,41.0,low,,2025-01-26T22:30Z,50.8284,-0.1395
Leeds,5.59,broken clouds,94,3.6,1/26/25 23:22,15,National,40,41.0,low,,2025-01-26T22:30Z,53.7964,-1.5477
Glasgow,3.15,overcast clouds,93,4.12,1/26/25 23:18,16,National,40,41.0,low,,2025-01-26T22:30Z,55.8652,-4.2576
Swansea,6.37,light rain,92,0.89,1/26/25 23:22,17,National,40,41.0,low,,2025-01-26T22:30Z,51.6208,-3.9432
Inverness,4.9,overcast clouds,87,4.12,1/26/25 23:22,1,National,40,41.0,low,,2025-01-26T22:30Z,57.4791,-4.224
Edinburgh,2.86,light rain,90,3.6,1/26/25 23:24,2,National,40,41.0,low,,2025-01-26T22:30Z,55.9521,-3.1965
Manchester,7.1,light rain,85,3.6,1/26/25 23:19,3,National,40,41.0,low,,2025-01-26T22:30Z,53.4809,-2.2374
Newcastle upon Tyne,5.12,broken clouds,93,4.12,1/26/25 23:22,4,National,40,41.0,low,,2025-01-26T22:30Z,54.9733,-1.614
Sheffield,6.01,light rain,91,5.69,1/26/25 23:18,5,National,40,41.0,low,,2025-01-26T22:30Z,53.383,-1.4659
Liverpool,6.34,light intensity shower rain,90,6.69,1/26/25 23:18,6,National,40,41.0,low,,2025-01-26T22:30Z,53.4106,-2.9779
Cardiff,6.32,light rain,93,5.14,1/26/25 23:21,7,National,40,41.0,low,,2025-01-26T22:30Z,51.48,-3.18
Birmingham,8.86,moderate rain,90,0.7,1/26/25 23:22,8,National,40,41.0,low,,2025-01-26T22:30Z,52.4814,-1.8998
Nottingham,7.01,scattered clouds,91,4.63,1/26/25 23:19,9,National,40,41.0,low,,2025-01-26T22:30Z,52.9536,-1.1505
Cambridge,-3.79,overcast clouds,63,5.14,1/26/25 23:20,10,National,40,41.0,low,,2025-01-26T22:30Z,52.2,0.1167
Bristol,0.74,clear sky,53,2.57,1/26/25 23:18,11,National,40,41.0,low,,2025-01-26T22:30Z,51.4552,-2.5967
Southampton,7.8,very heavy rain,97,1.34,1/26/25 23:22,12,National,40,41.0,low,,2025-01-26T22:30Z,50.904,-1.4043
London,8.84,very heavy rain,88,8.23,1/26/25 23:18,13,National,40,41.0,low,,2025-01-26T22:30Z,51.5085,-0.1257
Brighton,8.1,light rain,94,4.47,1/26/25 23:22,14,National,40,41.0,low,,2025-01-26T22:30Z,50.8284,-0.1395
Leeds,5.59,broken clouds,94,3.6,1/26/25 23:22,15,National,40,41.0,low,,2025-01-26T22:30Z,53.7964,-1.5477
Glasgow,3.15,overcast clouds,93,4.12,1/26/25 23:18,16,National,40,41.0,low,,2025-01-26T22:30Z,55.8652,-4.2576
Swansea,6.37,light rain,92,0.89,1/26/25 23:22,17,National,40,41.0,low,,2025-01-26T22:30Z,51.6208,-3.9432
Inverness,4.9,overcast clouds,87,4.12,1/26/25 23:22,1,National,40,32.0,low,,2025-01-26T23:00Z,57.4791,-4.224
Edinburgh,2.86,light rain,90,3.6,1/26/25 23:24,2,National,40,32.0,low,,2025-01-26T23:00Z,55.9521,-3.1965
Manchester,7.1,light rain,85,3.6,1/26/25 23:27,3,National,40,32.0,low,,2025-01-26T23:00Z,53.4809,-2.2374
Newcastle upon Tyne,5.12,broken clouds,93,4.12,1/26/25 23:22,4,National,40,32.0,low,,2025-01-26T23:00Z,54.9733,-1.614
Sheffield,6.01,light rain,91,5.69,1/26/25 23:18,5,National,40,32.0,low,,2025-01-26T23:00Z,53.383,-1.4659
Liverpool,6.34,light intensity shower rain,90,6.69,1/26/25 23:18,6,National,40,32.0,low,,2025-01-26T23:00Z,53.4106,-2.9779
Cardiff,6.32,light rain,93,5.14,1/26/25 23:21,7,National,40,32.0,low,,2025-01-26T23:00Z,51.48,-3.18
Birmingham,8.86,moderate rain,90,0.7,1/26/25 23:22,8,National,40,32.0,low,,2025-01-26T23:00Z,52.4814,-1.8998
Nottingham,7.01,scattered clouds,91,4.63,1/26/25 23:19,9,National,40,32.0,low,,2025-01-26T23:00Z,52.9536,-1.1505
Cambridge,-3.79,overcast clouds,63,5.14,1/26/25 23:20,10,National,40,32.0,low,,2025-01-26T23:00Z,52.2,0.1167
Bristol,0.74,clear sky,53,2.57,1/26/25 23:18,11,National,40,32.0,low,,2025-01-26T23:00Z,51.4552,-2.5967
Southampton,7.8,very heavy rain,97,1.34,1/26/25 23:22,12,National,40,32.0,low,,2025-01-26T23:00Z,50.904,-1.4043
London,8.55,heavy intensity rain,89,6.26,1/26/25 23:24,13,National,40,32.0,low,,2025-01-26T23:00Z,51.5085,-0.1257
Brighton,8.1,light rain,94,4.47,1/26/25 23:22,14,National,40,32.0,low,,2025-01-26T23:00Z,50.8284,-0.1395
Leeds,5.59,broken clouds,94,3.6,1/26/25 23:22,15,National,40,32.0,low,,2025-01-26T23:00Z,53.7964,-1.5477
Glasgow,3.15,overcast clouds,93,4.12,1/26/25 23:18,16,National,40,32.0,low,,2025-01-26T23:00Z,55.8652,-4.2576
Swansea,6.37,light rain,92,0.89,1/26/25 23:22,17,National,40,32.0,low,,2025-01-26T23:00Z,51.6208,-3.9432
Inverness,4.9,few clouds,87,3.13,1/26/25 23:33,1,National,40,32.0,low,,2025-01-26T23:00Z,57.4791,-4.224
Edinburgh,2.86,light rain,90,3.6,1/26/25 23:24,2,National,40,32.0,low,,2025-01-26T23:00Z,55.9521,-3.1965
Manchester,7.1,light rain,85,3.6,1/26/25 23:27,3,National,40,32.0,low,,2025-01-26T23:00Z,53.4809,-2.2374
Newcastle upon Tyne,5.12,broken clouds,93,4.12,1/26/25 23:31,4,National,40,32.0,low,,2025-01-26T23:00Z,54.9733,-1.614
Sheffield,6.04,light rain,91,4.12,1/26/25 23:33,5,National,40,32.0,low,,2025-01-26T23:00Z,53.383,-1.4659
Liverpool,6.34,light intensity shower rain,91,6.69,1/26/25 23:29,6,National,40,32.0,low,,2025-01-26T23:00Z,53.4106,-2.9779
Cardiff,6.22,moderate rain,94,5.14,1/26/25 23:31,7,National,40,32.0,low,,2025-01-26T23:00Z,51.48,-3.18
Birmingham,8.86,moderate rain,90,0.7,1/26/25 23:22,8,National,40,32.0,low,,2025-01-26T23:00Z,52.4814,-1.8998
Nottingham,7.01,light rain,91,4.63,1/26/25 23:31,9,National,40,32.0,low,,2025-01-26T23:00Z,52.9536,-1.1505
Cambridge,-3.79,overcast clouds,63,5.14,1/26/25 23:31,10,National,40,32.0,low,,2025-01-26T23:00Z,52.2,0.1167
Bristol,0.49,clear sky,53,2.57,1/26/25 23:34,11,National,40,32.0,low,,2025-01-26T23:00Z,51.4552,-2.5967
Southampton,7.82,light rain,97,2.24,1/26/25 23:34,12,National,40,32.0,low,,2025-01-26T23:00Z,50.904,-1.4043
London,8.55,heavy intensity rain,89,6.26,1/26/25 23:24,13,National,40,32.0,low,,2025-01-26T23:00Z,51.5085,-0.1257
Brighton,8.1,light rain,94,4.92,1/26/25 23:31,14,National,40,32.0,low,,2025-01-26T23:00Z,50.8284,-0.1395
Leeds,5.27,mist,97,4.12,1/26/25 23:34,15,National,40,32.0,low,,2025-01-26T23:00Z,53.7964,-1.5477
Glasgow,3.15,broken clouds,94,5.14,1/26/25 23:34,16,National,40,32.0,low,,2025-01-26T23:00Z,55.8652,-4.2576
Swansea,6.13,overcast clouds,92,0.89,1/26/25 23:30,17,National,40,32.0,low,,2025-01-26T23:00Z,51.6208,-3.9432
Inverness,4.9,few clouds,87,2.68,1/26/25 23:38,1,National,40,32.0,low,,2025-01-26T23:00Z,57.4791,-4.224
Edinburgh,2.86,broken clouds,90,3.09,1/26/25 23:38,2,National,40,32.0,low,,2025-01-26T23:00Z,55.9521,-3.1965
Manchester,7.08,light rain,85,3.6,1/26/25 23:33,3,National,40,32.0,low,,2025-01-26T23:00Z,53.4809,-2.2374
Newcastle upon Tyne,5.12,overcast clouds,100,4.63,1/26/25 23:37,4,National,40,32.0,low,,2025-01-26T23:00Z,54.9733,-1.614
Sheffield,6.04,light rain,91,4.12,1/26/25 23:33,5,National,40,32.0,low,,2025-01-26T23:00Z,53.383,-1.4659
Liverpool,6.34,light rain,92,6.17,1/26/25 23:38,6,National,40,32.0,low,,2025-01-26T23:00Z,53.4106,-2.9779
Cardiff,6.18,light rain,94,4.12,1/26/25 23:38,7,National,40,32.0,low,,2025-01-26T23:00Z,51.48,-3.18
Birmingham,8.98,moderate rain,93,0.75,1/26/25 23:38,8,National,40,32.0,low,,2025-01-26T23:00Z,52.4814,-1.8998
Nottingham,7.01,light rain,92,4.63,1/26/25 23:38,9,National,40,32.0,low,,2025-01-26T23:00Z,52.9536,-1.1505
Cambridge,-3.79,overcast clouds,63,5.14,1/26/25 23:37,10,National,40,32.0,low,,2025-01-26T23:00Z,52.2,0.1167
Bristol,0.44,clear sky,54,2.57,1/26/25 23:38,11,National,40,32.0,low,,2025-01-26T23:00Z,51.4552,-2.5967
Southampton,7.82,light rain,97,2.24,1/26/25 23:33,12,National,40,32.0,low,,2025-01-26T23:00Z,50.904,-1.4043
London,8.55,heavy intensity rain,89,6.26,1/26/25 23:24,13,National,40,32.0,low,,2025-01-26T23:00Z,51.5085,-0.1257
Brighton,8.05,light rain,94,4.47,1/26/25 23:38,14,National,40,32.0,low,,2025-01-26T23:00Z,50.8284,-0.1395
Leeds,5.27,mist,97,4.12,1/26/25 23:34,15,National,40,32.0,low,,2025-01-26T23:00Z,53.7964,-1.5477
Glasgow,3.15,broken clouds,94,5.14,1/26/25 23:38,16,National,40,32.0,low,,2025-01-26T23:00Z,55.8652,-4.2576
Swansea,6.13,overcast clouds,92,0.45,1/26/25 23:38,17,National,40,32.0,low,,2025-01-26T23:00Z,51.6208,-3.9432
Inverness,4.9,few clouds,87,2.68,1/26/25 23:38,1,National,40,32.0,low,,2025-01-26T23:00Z,57.4791,-4.224
Edinburgh,2.86,broken clouds,90,3.09,1/26/25 23:38,2,National,40,32.0,low,,2025-01-26T23:00Z,55.9521,-3.1965
Manchester,7.08,light rain,85,3.6,1/26/25 23:33,3,National,40,32.0,low,,2025-01-26T23:00Z,53.4809,-2.2374
Newcastle upon Tyne,5.12,overcast clouds,100,4.63,1/26/25 23:37,4,National,40,32.0,low,,2025-01-26T23:00Z,54.9733,-1.614
Sheffield,6.04,light rain,91,4.12,1/26/25 23:33,5,National,40,32.0,low,,2025-01-26T23:00Z,53.383,-1.4659
Liverpool,6.34,light rain,92,6.17,1/26/25 23:38,6,National,40,32.0,low,,2025-01-26T23:00Z,53.4106,-2.9779
Cardiff,6.18,light rain,94,4.12,1/26/25 23:38,7,National,40,32.0,low,,2025-01-26T23:00Z,51.48,-3.18
Birmingham,8.98,moderate rain,93,0.75,1/26/25 23:38,8,National,40,32.0,low,,2025-01-26T23:00Z,52.4814,-1.8998
Nottingham,7.01,light rain,92,4.63,1/26/25 23:38,9,National,40,32.0,low,,2025-01-26T23:00Z,52.9536,-1.1505
Cambridge,-3.79,overcast clouds,63,5.14,1/26/25 23:37,10,National,40,32.0,low,,2025-01-26T23:00Z,52.2,0.1167
Bristol,0.44,clear sky,54,2.57,1/26/25 23:38,11,National,40,32.0,low,,2025-01-26T23:00Z,51.4552,-2.5967
Southampton,7.82,light rain,97,2.24,1/26/25 23:33,12,National,40,32.0,low,,2025-01-26T23:00Z,50.904,-1.4043
London,8.17,heavy intensity rain,89,7.2,1/26/25 23:38,13,National,40,32.0,low,,2025-01-26T23:00Z,51.5085,-0.1257
Brighton,8.05,light rain,94,4.47,1/26/25 23:38,14,National,40,32.0,low,,2025-01-26T23:00Z,50.8284,-0.1395
Leeds,5.27,mist,97,4.12,1/26/25 23:34,15,National,40,32.0,low,,2025-01-26T23:00Z,53.7964,-1.5477
Glasgow,3.15,broken clouds,94,5.14,1/26/25 23:38,16,National,40,32.0,low,,2025-01-26T23:00Z,55.8652,-4.2576
Swansea,6.13,overcast clouds,92,0.45,1/26/25 23:38,17,National,40,32.0,low,,2025-01-26T23:00Z,51.6208,-3.9432
Inverness,4.9,moderate rain,87,2.68,1/27/25 0:13,National,National,40,,,,2025-01-26T23:30Z,,
Edinburgh,2.86,broken clouds,91,3.09,1/27/25 0:15,National,National,40,,,,2025-01-26T23:30Z,,
Manchester,6.88,moderate rain,88,4.12,1/27/25 0:15,National,National,40,,,,2025-01-26T23:30Z,,
Newcastle upon Tyne,5.12,overcast clouds,100,3.09,1/27/25 0:15,National,National,40,,,,2025-01-26T23:30Z,,
Sheffield,6.04,light rain,91,3.82,1/27/25 0:11,National,National,40,,,,2025-01-26T23:30Z,,
Liverpool,6.6,light rain,92,6.17,1/27/25 0:15,National,National,40,,,,2025-01-26T23:30Z,,
Cardiff,5.58,broken clouds,96,5.14,1/27/25 0:15,National,National,40,,,,2025-01-26T23:30Z,,
Birmingham,8.33,mist,93,2.06,1/27/25 0:11,National,National,40,,,,2025-01-26T23:30Z,,
Nottingham,7.01,light rain,90,5.14,1/27/25 0:15,National,National,40,,,,2025-01-26T23:30Z,,
Cambridge,-3.79,overcast clouds,63,6.69,1/27/25 0:15,National,National,40,,,,2025-01-26T23:30Z,,
Bristol,-0.45,clear sky,56,0.89,1/27/25 0:08,National,National,40,,,,2025-01-26T23:30Z,,
Southampton,8.54,overcast clouds,97,4.92,1/27/25 0:16,National,National,40,,,,2025-01-26T23:30Z,,
London,7.8,moderate rain,90,5.66,1/27/25 0:05,National,National,40,,,,2025-01-26T23:30Z,,
Brighton,8.51,broken clouds,95,4.47,1/27/25 0:16,National,National,40,,,,2025-01-26T23:30Z,,
Leeds,5.23,mist,97,4.12,1/27/25 0:16,National,National,40,,,,2025-01-26T23:30Z,,
Glasgow,3.59,overcast clouds,91,6.17,1/27/25 0:14,National,National,40,,,,2025-01-26T23:30Z,,
Swansea,6.14,overcast clouds,93,7.23,1/27/25 0:15,National,National,40,,,,2025-01-26T23:30Z,,
Inverness,4.9,moderate rain,88,2.68,1/27/25 0:26,National,National,41,,,,2025-01-27T00:00Z,,
Edinburgh,2.86,broken clouds,90,3.09,1/27/25 0:31,National,National,41,,,,2025-01-27T00:00Z,,
Manchester,7.06,moderate rain,86,4.12,1/27/25 0:30,National,National,41,,,,2025-01-27T00:00Z,,
Newcastle upon Tyne,5.12,overcast clouds,100,3.09,1/27/25 0:26,National,National,41,,,,2025-01-27T00:00Z,,
Sheffield,6.04,light rain,91,3.82,1/27/25 0:26,National,National,41,,,,2025-01-27T00:00Z,,
Liverpool,6.6,moderate rain,92,6.17,1/27/25 0:30,National,National,41,,,,2025-01-27T00:00Z,,
Cardiff,5.46,broken clouds,96,5.14,1/27/25 0:32,National,National,41,,,,2025-01-27T00:00Z,,
Birmingham,8.2,moderate rain,94,2.06,1/27/25 0:26,National,National,41,,,,2025-01-27T00:00Z,,
Nottingham,7.01,light rain,90,5.14,1/27/25 0:26,National,National,41,,,,2025-01-27T00:00Z,,
Cambridge,-4.79,broken clouds,68,5.66,1/27/25 0:34,National,National,41,,,,2025-01-27T00:00Z,,
Bristol,-0.67,clear sky,57,1.34,1/27/25 0:26,National,National,41,,,,2025-01-27T00:00Z,,
Southampton,8.81,overcast clouds,97,4.92,1/27/25 0:25,National,National,41,,,,2025-01-27T00:00Z,,
London,7.8,light rain,91,5.66,1/27/25 0:31,National,National,41,,,,2025-01-27T00:00Z,,
Brighton,9.21,overcast clouds,95,3.58,1/27/25 0:31,National,National,41,,,,2025-01-27T00:00Z,,
Leeds,5.43,light rain,94,0.45,1/27/25 0:29,National,National,41,,,,2025-01-27T00:00Z,,
Glasgow,3.59,overcast clouds,91,6.17,1/27/25 0:26,National,National,41,,,,2025-01-27T00:00Z,,
Swansea,6.15,overcast clouds,93,0.45,1/27/25 0:26,National,National,41,,,,2025-01-27T00:00Z,,
Inverness,4.9,moderate rain,88,4.12,1/27/25 0:39,National,National,41,,,,2025-01-27T00:00Z,,
Edinburgh,2.94,scattered clouds,91,3.6,1/27/25 0:40,National,National,41,,,,2025-01-27T00:00Z,,
Manchester,6.93,moderate rain,86,3.09,1/27/25 0:37,National,National,41,,,,2025-01-27T00:00Z,,
Newcastle upon Tyne,5.12,overcast clouds,100,6.17,1/27/25 0:38,National,National,41,,,,2025-01-27T00:00Z,,
Sheffield,6.04,light rain,91,3.9,1/27/25 0:41,National,National,41,,,,2025-01-27T00:00Z,,
Liverpool,6.59,moderate rain,92,6.17,1/27/25 0:41,National,National,41,,,,2025-01-27T00:00Z,,
Cardiff,5.61,broken clouds,95,4.12,1/27/25 0:38,National,National,41,,,,2025-01-27T00:00Z,,
Birmingham,8.04,moderate rain,94,2.06,1/27/25 0:41,National,National,41,,,,2025-01-27T00:00Z,,
Nottingham,7.01,moderate rain,90,4.12,1/27/25 0:38,National,National,41,,,,2025-01-27T00:00Z,,
Cambridge,-4.91,broken clouds,73,5.66,1/27/25 0:40,National,National,41,,,,2025-01-27T00:00Z,,
Bristol,-1.09,clear sky,59,0.0,1/27/25 0:41,National,National,41,,,,2025-01-27T00:00Z,,
Southampton,7.76,broken clouds,96,4.92,1/27/25 0:42,National,National,41,,,,2025-01-27T00:00Z,,
London,7.8,light rain,91,5.66,1/27/25 0:30,National,National,41,,,,2025-01-27T00:00Z,,
Brighton,9.26,overcast clouds,95,3.58,1/27/25 0:39,National,National,41,,,,2025-01-27T00:00Z,,
Leeds,5.43,light rain,94,3.09,1/27/25 0:42,National,National,41,,,,2025-01-27T00:00Z,,
Glasgow,3.59,broken clouds,91,6.17,1/27/25 0:42,National,National,41,,,,2025-01-27T00:00Z,,
Swansea,6.15,overcast clouds,93,1.34,1/27/25 0:42,National,National,41,,,,2025-01-27T00:00Z,,
Inverness,4.9,light rain,90,4.12,1/27/25 1:16,National,National,40,,,,2025-01-27T00:30Z,,
Edinburgh,2.94,few clouds,91,3.6,1/27/25 1:07,National,National,40,,,,2025-01-27T00:30Z,,
Manchester,6.74,moderate rain,88,5.14,1/27/25 1:05,National,National,40,,,,2025-01-27T00:30Z,,
Newcastle upon Tyne,5.12,overcast clouds,100,4.63,1/27/25 1:15,National,National,40,,,,2025-01-27T00:30Z,,
Sheffield,6.07,moderate rain,91,3.9,1/27/25 1:16,National,National,40,,,,2025-01-27T00:30Z,,
Liverpool,5.83,heavy intensity rain,92,4.12,1/27/25 1:14,National,National,40,,,,2025-01-27T00:30Z,,
Cardiff,5.98,broken clouds,93,6.17,1/27/25 1:14,National,National,40,,,,2025-01-27T00:30Z,,
Birmingham,7.99,light rain,93,2.06,1/27/25 1:15,National,National,40,,,,2025-01-27T00:30Z,,
Nottingham,6.75,moderate rain,91,5.66,1/27/25 1:16,National,National,40,,,,2025-01-27T00:30Z,,
Cambridge,-5.1,broken clouds,74,5.66,1/27/25 1:13,National,National,40,,,,2025-01-27T00:30Z,,
Bristol,-1.65,clear sky,60,1.54,1/27/25 1:14,National,National,40,,,,2025-01-27T00:30Z,,
Southampton,6.86,broken clouds,95,4.47,1/27/25 1:16,National,National,40,,,,2025-01-27T00:30Z,,
London,8.44,light rain,93,6.69,1/27/25 1:08,National,National,40,,,,2025-01-27T00:30Z,,
Brighton,9.81,overcast clouds,93,2.68,1/27/25 1:15,National,National,40,,,,2025-01-27T00:30Z,,
Leeds,5.43,light rain,94,0.45,1/27/25 1:03,National,National,40,,,,2025-01-27T00:30Z,,
Glasgow,3.63,overcast clouds,91,5.14,1/27/25 1:07,National,National,40,,,,2025-01-27T00:30Z,,
Swansea,6.42,light rain,93,1.79,1/27/25 1:12,National,National,40,,,,2025-01-27T00:30Z,,
Inverness,4.9,light rain,90,4.12,1/27/25 1:16,1,National,41,40.0,low,,2025-01-27T00:30Z,57.4791,-4.224
Edinburgh,2.94,few clouds,91,3.6,1/27/25 1:15,2,National,41,40.0,low,,2025-01-27T00:30Z,55.9521,-3.1965
Manchester,6.37,heavy intensity rain,89,5.14,1/27/25 1:19,3,National,41,40.0,low,,2025-01-27T00:30Z,53.4809,-2.2374
Newcastle upon Tyne,5.12,overcast clouds,100,4.63,1/27/25 1:15,4,National,41,40.0,low,,2025-01-27T00:30Z,54.9733,-1.614
Sheffield,6.07,moderate rain,91,3.9,1/27/25 1:16,5,National,41,40.0,low,,2025-01-27T00:30Z,53.383,-1.4659
Liverpool,5.83,heavy intensity rain,92,4.12,1/27/25 1:14,6,National,41,40.0,low,,2025-01-27T00:30Z,53.4106,-2.9779
Cardiff,5.98,broken clouds,93,6.17,1/27/25 1:14,7,National,41,40.0,low,,2025-01-27T00:30Z,51.48,-3.18
Birmingham,7.99,light rain,93,2.06,1/27/25 1:15,8,National,41,40.0,low,,2025-01-27T00:30Z,52.4814,-1.8998
Nottingham,6.75,moderate rain,91,5.66,1/27/25 1:16,9,National,41,40.0,low,,2025-01-27T00:30Z,52.9536,-1.1505
Cambridge,-5.1,broken clouds,74,5.66,1/27/25 1:13,10,National,41,40.0,low,,2025-01-27T00:30Z,52.2,0.1167
Bristol,-1.65,clear sky,60,1.54,1/27/25 1:14,11,National,41,40.0,low,,2025-01-27T00:30Z,51.4552,-2.5967
Southampton,6.86,broken clouds,95,4.47,1/27/25 1:16,12,National,41,40.0,low,,2025-01-27T00:30Z,50.904,-1.4043
London,8.44,light rain,93,6.69,1/27/25 1:08,13,National,41,40.0,low,,2025-01-27T00:30Z,51.5085,-0.1257
Brighton,9.81,overcast clouds,93,2.68,1/27/25 1:15,14,National,41,40.0,low,,2025-01-27T00:30Z,50.8284,-0.1395
Leeds,5.43,light rain,94,0.45,1/27/25 1:16,15,National,41,40.0,low,,2025-01-27T00:30Z,53.7964,-1.5477
Glasgow,3.63,overcast clouds,91,5.14,1/27/25 1:16,16,National,41,40.0,low,,2025-01-27T00:30Z,55.8652,-4.2576
Swansea,6.42,light rain,93,1.79,1/27/25 1:12,17,National,41,40.0,low,,2025-01-27T00:30Z,51.6208,-3.9432
Inverness,4.9,overcast clouds,90,4.12,1/27/25 1:30,1,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,57.4791,-4.224
Edinburgh,2.94,few clouds,91,3.6,1/27/25 1:25,2,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,55.9521,-3.1965
Manchester,6.34,moderate rain,89,5.14,1/27/25 1:25,3,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,53.4809,-2.2374
Newcastle upon Tyne,5.12,overcast clouds,100,4.63,1/27/25 1:32,4,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,54.9733,-1.614
Sheffield,6.07,moderate rain,91,3.9,1/27/25 1:27,5,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,53.383,-1.4659
Liverpool,5.78,moderate rain,91,4.12,1/27/25 1:23,6,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,53.4106,-2.9779
Cardiff,6.07,broken clouds,93,6.17,1/27/25 1:28,7,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,51.48,-3.18
Birmingham,7.99,overcast clouds,93,2.06,1/27/25 1:27,8,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,52.4814,-1.8998
Nottingham,7.0,heavy intensity rain,91,5.66,1/27/25 1:28,9,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,52.9536,-1.1505
Cambridge,-5.62,broken clouds,77,4.63,1/27/25 1:32,10,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,52.2,0.1167
Bristol,-2.2,clear sky,63,1.54,1/27/25 1:26,11,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,51.4552,-2.5967
Southampton,7.05,broken clouds,96,3.13,1/27/25 1:32,12,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,50.904,-1.4043
London,9.03,overcast clouds,93,6.69,1/27/25 1:27,13,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,51.5085,-0.1257
Brighton,9.15,overcast clouds,90,2.68,1/27/25 1:32,14,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,50.8284,-0.1395
Leeds,5.43,moderate rain,94,0.45,1/27/25 1:28,15,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,53.7964,-1.5477
Glasgow,3.63,light rain,91,5.14,1/27/25 1:28,16,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,55.8652,-4.2576
Swansea,7.07,broken clouds,91,2.68,1/27/25 1:31,17,National,41,42.0,low,"""N/A""",2025-01-27T01:00Z,51.6208,-3.9432
Inverness,4.9,overcast clouds,90,4.12,1/27/25 1:30,1,National,41,42.0,low,,2025-01-27T01:00Z,57.4791,-4.224
Edinburgh,2.94,few clouds,91,3.6,1/27/25 1:25,2,National,41,42.0,low,,2025-01-27T01:00Z,55.9521,-3.1965
Manchester,6.34,moderate rain,89,5.14,1/27/25 1:25,3,National,41,42.0,low,,2025-01-27T01:00Z,53.4809,-2.2374
Newcastle upon Tyne,5.12,overcast clouds,100,4.63,1/27/25 1:32,4,National,41,42.0,low,,2025-01-27T01:00Z,54.9733,-1.614
Sheffield,6.07,moderate rain,91,3.9,1/27/25 1:27,5,National,41,42.0,low,,2025-01-27T01:00Z,53.383,-1.4659
Liverpool,5.78,moderate rain,91,4.12,1/27/25 1:23,6,National,41,42.0,low,,2025-01-27T01:00Z,53.4106,-2.9779
Cardiff,6.07,broken clouds,93,6.17,1/27/25 1:28,7,National,41,42.0,low,,2025-01-27T01:00Z,51.48,-3.18
Birmingham,7.99,overcast clouds,93,2.06,1/27/25 1:27,8,National,41,42.0,low,,2025-01-27T01:00Z,52.4814,-1.8998
